Park,Site,Score (0-5),Verdict,Hangs,Tree spans (ft),Ground / tent notes,Setting,Cautions & extras,"What he said (auto-caption, verbatim)"
Afton,25,5,Best in park,3+,"11-13, plus a ~15","Flat, lots of tent room","Next to a small open prairie; far end of the trail, little foot traffic",Multiple usable pairs plus room for many tents. Neighbors site 27.,an excellent campsite for hammockers ... this is the best one by far
Afton,3,4,Good,several,not measured,Two tent pads,"Wooded, uphill from 0/1/2",The densest timber he found; he suspects this stand is why the park keeps a wooded map for hammockers.,lots of trees ... plenty of spots for hammocks here
Afton,6,4,Good,2-3,not measured,Two adjacent tent pads,"Wooded, primitive outhouse nearby",Roomier than nearby 5; convenient to the privy.,hammocking check you probably get two in there three if you're lucky
Afton,22,4,Good,2,not measured,"Flat, a little muddy on one side",End of the road past 21,"No real tent pads, so it favors hangers.",probably more hammock friendly than anything
Afton,27,3,Decent,~2,~10 (small hammock) + a longer pair,One flat spot by the ring; rest on a slant,End of the road up the main hill,The 10 ft pair only works with a short hammock. Neighbors site 25.,a good spot for about two hammocks maybe and then one comfortable tent
Afton,21,3,Decent,1-2,~12,Two tent pads,"Nestled in woods, not visible from 20",A second option exists but sits on a deer trail; he'd skip that one.,in general looks like one solid hammock spot
Afton,11,3,Decent,1-2,not measured,"Mostly open, slightly tilted in spots","Under a distinctive shade tree; near water, wood and the privy",Big site - 3-4 tents alongside.,I'd call this a one maybe two hammock site plus maybe three or four tents
Afton,7,3,Decent,1,"11-12, with a second tree as backup","Open, muddy near the fire ring","Prairie site on a cliff edge, big view",Exposed - wind noise was constant on camera.,pretty open as a hammock spot if you don't mind being on a cliff
Afton,13,2,Marginal,1,~12,Decent flat space for a couple of tents,"Wooded, heavy deer traffic",One pair and that's it.,maybe a hammock spot from there to there that looks to be about 12 feet that's about it
Afton,15,2,Marginal,1,~13 (a second pair ~17 he'd skip),Very flat - among the flattest in the park,Open site,Signs someone has camped at the 13 ft pair before.,as far as hammocks this is about a 13 foot gap
Afton,20,2,Marginal,1,~13.5,Two tent pads,Wooded,One span only.,there is one spot right here it's about thirteen thirteen and a half feet across that's about it
Afton,26,2,Marginal,1,not measured,Noticeably slanted; one flat spot near the ring,"Big open field ringed by woods, on a corner of two roads",Longest walk in the park; deer take refuge here.,we've got a decent spot from that tree to that tree and that's about it
Afton,1,2,Marginal,maybe 1,not measured,Two tent pads,Top of the first hill,"First site in; minimal beyond the pads, table and ring.",maybe a hammock spot over there and really that's about it
Afton,4,1,Poor,maybe 1,not measured,"Grass, no designated pads","Overlooking the valley, just off the path",Grass site with few trees.,not really any hammock spots maybe this one just maybe
Afton,8,1,Poor,maybe 1,11-12,"Open prairie, lots of tent space",Beautiful prairie with a big view; privy nearby,Two gigantic trees but nothing else usable.,doesn't look like there's any real hammock spots maybe maybe those two
Afton,18,1,Poor,maybe 1,not measured,One tent pad,Beautiful river view; fire ring right on the edge,The one candidate pair sits too close to the tent pad.,not too much in the way of hammock maybe one over there between those two
Afton,17,1,Poor,maybe 1,not measured,Designated tent site plus a flat spot,"Deep in the woods above a ravine, drop-off at the edge",The only pair straddles what looks like a deer trail - he'd not risk it.,I wouldn't mess with that you end up with deer inside your tarp
Afton,2,1,Poor,maybe 1,not measured,One large tent pad,Across from site 0,,as far as hammocking goes it doesn't look very promising maybe one over yonder
Afton,12,1,Poor,workable but bad,~15-16 (too long) or ~10 (tarp won't fit),"Flat, flat, flat - big tent capacity",Heavy deer sign; featured in his other videos,"His usual pair here is 15-16 ft; the alternative is only ~10 ft, too short for his tarp.",this is a tent site for sure
Afton,5,1,Poor,0-1,not measured,"One pad, open space, edge of a drop-off",Across a ravine from 3; a real hike in,"Poplar stand, but the trees are mostly up the hill off-site.",if you're gonna be hammocking this is one I probably wouldn't go to
Afton,10,0,Avoid for hanging,0,-,Tilted - the first non-flat site he saw,"Closest to water, wood and the privy",Fine enough for a tent or two.,I wouldn't recommend hanging any hammocks in here definitely not
Afton,14,0,Avoid,0,-,Slanted; the area around the table turns to mud,"Right off the path, site 23 visible from it",The one site he'd actively avoid - bad for tents too.,out of all the campsites I'd say 14 is one that I would try to avoid
Afton,16,0,Avoid for hanging,0,-,Space for a few tents,Best privacy in the park - a ring of trees and shrubbery,"Tent-only, but the nicest privacy screen he found.",you got space for a few tents here and no hammocks this is definitely a tent only site
Afton,23,0,Avoid for hanging,0,-,"Decently flat, slight slant","Open field, no shade",Pure field site.,there are no hammock sites whatsoever this is a field campsite for sure
Afton,24,0,Avoid for hanging,0,-,"Flat, slight downhill",Smaller site for smaller groups,Fits two tents.,as far as hammocks go I would not bother
Afton,0,,Not assessed,,,No tent pads,Very quick exit back to the trail,He noted only the fire ring and picnic table; no hammock read given.,campsite 0 has no tent pads just a nice happy place for you to set up
Afton,9,,Not assessed,,,Tent pad next to the fire ring,"Prairie, grass and flowers in spring; deer everywhere",Oversized old fire scars eat into the usable space. No hammock read given.,some big fires that people had that don't quite allow you to camp where you think you should
Afton,19,,Not assessed,,,Two tent pads on two levels,River view like 18; on a cliff edge,He flags it as a poor choice with small children. No hammock read given.,just like 18 is on the edge of a cliff
Lake Maria,B2,5,Best in park,many,your pick,Flat throughout,On a peninsula; little trails down to the lake,He has hung here before. Trailhead lot for B1-B3 holds only 5-6 cars. Watch where you pitch relative to the central fire ring and the wind.,you could hang a hammock just about anywhere ... there's just so many spots
